rodent_uid,trap_uid,clean_names,genus,sub_family,family,sex,age_group,weight,head_body,cut_tail,hind_foot,ear,length_skull,testes,seminal_vesicles,vagina_perforate,teats_visible,pairs_teats,number_embryos,notes,all_samples,source_data,village,visit,trap_night,grid_number,trap_number
1_LAL_001,lalehun_1_1_1_21,lophuromys_sikapusi,lophuromys,murinae,muridae,male,adult,79,140,NA,22,17,40,outside,not_noted,na,na,NA,NA,NA,yes,Paper,lalehun,1,1,1,21
1_LAL_002,lalehun_1_1_1_46,crocidura_olivieri,crocidura,crocidurinae,soricidae,male,not_known,39,137,NA,20,11,44,inside,not_noted,na,na,NA,NA,NA,yes,Paper,lalehun,1,1,1,46
1_LAL_003,lalehun_1_1_2_102,lemniscomys_striatus,lemniscomys,murinae,muridae,female,adult,55,118,NA,26,18,29,na,na,open,visible,NA,6,NA,no,Paper,lalehun,1,1,2,102
1_LAL_004,lalehun_1_1_2_106,lophuromys_sikapusi,lophuromys,murinae,muridae,male,adult,60.5,138,NA,22,14,39,outside,developed,na,na,NA,NA,NA,yes,Paper,lalehun,1,1,2,106
1_LAL_005,lalehun_1_1_3_184,crocidura_theresae,crocidura,crocidurinae,soricidae,male,not_known,12,84,NA,14,9,29,inside,not_noted,na,na,NA,NA,NA,no,Paper,lalehun,1,1,3,184
1_LAL_006,lalehun_1_3_1_28,mus_setulosus,mus,murinae,muridae,female,adult,14,75,NA,13,11,24,na,na,not_noted,visible,NA,3,NA,yes,Paper,lalehun,1,3,1,28
1_LAL_007,lalehun_1_3_1_40,mus_setulosus,mus,murinae,muridae,male,adult,14,78,NA,10.4,10,10.5,outside,not_noted,na,na,NA,NA,NA,yes,Paper,lalehun,1,3,1,40
1_LAL_008,lalehun_1_3_1_45,crocidura_olivieri,crocidura,crocidurinae,soricidae,male,not_known,27,120,NA,10.6,10,35,inside,not_noted,na,na,NA,NA,NA,yes,Paper,lalehun,1,3,1,45
1_LAL_009,lalehun_1_2_2_57,lophuromys_sikapusi,lophuromys,murinae,muridae,male,adult,70,132,NA,21,22,35,outside,not_noted,na,na,NA,NA,cut_tail,yes,Paper,lalehun,1,2,2,57
1_LAL_010,lalehun_1_2_2_104,lophuromys_sikapusi,lophuromys,murinae,muridae,male,adult,74,139,NA,20,17,35,outside,developed,na,na,NA,NA,NA,yes,Paper,lalehun,1,2,2,104
1_LAL_011,lalehun_1_2_2_105,lophuromys_sikapusi,lophuromys,murinae,muridae,female,adult,55,124,NA,22,19,34,na,na,open,barely_visible,NA,0,NA,yes,Paper,lalehun,1,2,2,105
1_LAL_012,lalehun_1_2_2_134,crocidura_olivieri,crocidura,crocidurinae,soricidae,female,adult,29,119,NA,17,11,34,na,na,open,visible,NA,3,NA,yes,Paper,lalehun,1,2,2,134
1_LAL_013,lalehun_1_2_3_184,crocidura_olivieri,crocidura,crocidurinae,soricidae,female,not_known,25,117,NA,17,10,34,na,na,not_noted,not_noted,NA,0,NA,yes,Paper,lalehun,1,2,3,184
1_LAL_014,lalehun_1_1_7_248,crocidura_olivieri,crocidura,crocidurinae,soricidae,male,not_known,25,114,NA,16,10,29,inside,not_noted,na,na,NA,NA,NA,yes,Paper,lalehun,1,1,7,248
1_LAL_015,lalehun_1_1_7_252,crocidura_olivieri,crocidura,crocidurinae,soricidae,male,not_known,17,93,NA,14,7,25,inside,not_noted,na,na,NA,NA,NA,yes,Paper,lalehun,1,1,7,252
1_LAL_016,lalehun_1_1_7_263,crocidura_theresae,crocidura,crocidurinae,soricidae,male,not_known,10.1,89,NA,14,7,29,inside,not_noted,na,na,NA,NA,NA,yes,Paper,lalehun,1,1,7,263
1_LAL_017,lalehun_1_4_1_11,mus_setulosus,mus,murinae,muridae,female,adult,13,73,NA,16,12,25,na,na,open,not_noted,NA,5,NA,yes,Paper,lalehun,1,4,1,11
1_LAL_018,lalehun_1_3_2_57,lophuromys_sikapusi,lophuromys,murinae,muridae,male,adult,67,133,NA,23,17,33,outside,developed,na,na,NA,NA,NA,yes,Paper,lalehun,1,3,2,57
1_LAL_019,lalehun_1_3_2_59,lophuromys_sikapusi,lophuromys,murinae,muridae,female,adult,73,132,NA,24,17,37,na,na,open,not_noted,NA,3,NA,yes,Paper,lalehun,1,3,2,59
1_LAL_020,lalehun_1_3_2_106,crocidura_grandiceps,crocidura,crocidurinae,soricidae,male,not_known,13,89,NA,17,7,29,inside,not_noted,na,na,NA,NA,NA,no,Paper,lalehun,1,3,2,106
1_LAL_021,lalehun_1_3_3_184,crocidura_olivieri,crocidura,crocidurinae,soricidae,female,adult,25,117,NA,18,9,32,na,na,open,not_noted,NA,0,NA,no,Paper,lalehun,1,3,3,184
1_LAL_022,lalehun_1_2_7_254,crocidura_theresae,crocidura,crocidurinae,soricidae,male,not_known,13,88,NA,15,7,24,inside,not_noted,na,na,NA,NA,NA,no,Paper,lalehun,1,2,7,254
1_SEI_001,seilama_1_1_5_215,praomys_rostratus,malacomys,murinae,muridae,female,adult,42,113,NA,26,22,41,na,na,open,not_noted,NA,3,NA,yes,Paper,seilama,1,1,5,215
1_SEI_002,seilama_1_1_1_18,mus_setulosus,mus,murinae,muridae,male,adult,10,71,NA,17,14,27,outside,not_noted,na,na,NA,NA,NA,yes,Paper,seilama,1,1,1,18
1_SEI_003,seilama_1_1_1_44,lophuromys_sikapusi,lophuromys,murinae,muridae,male,adult,65,130,NA,23,17,35,outside,developed,na,na,NA,NA,NA,yes,Paper,seilama,1,1,1,44
1_SEI_004,seilama_1_1_2_88,lophuromys_sikapusi,lophuromys,murinae,muridae,male,adult,74,125,NA,23,16,37,outside,developed,na,na,NA,NA,cut_tail,yes,Paper,seilama,1,1,2,88
