matched_virus,original_assay,assay_clean,host_species,host_genus,country,n_assayed,n_positive,Author,Title,Publication Title,DOI,Publication Year
Mammarenavirus lassaense,antibody,Serology,Lophuromys sikapusi,Lophuromys,Sierra Leone,66,2,"Bangura, Umaru; Buanie, Jacob; Lamin, Joyce; Davis, Christopher; Bongo, Gédéon Ngiala; Dawson, Michael; Ansumana, Rashid; Sondufu, Dianah; Thomson, Emma C.; Sahr, Foday; Fichet-Calvet, Elisabeth","Lassa Virus Circulation in Small Mammal Populations in Bo District, Sierra Leone.",Biology,10.3390/biology10010028,2021
Mammarenavirus lassaense,antibody,Serology,Malacomys edwardsi,Malacomys,Sierra Leone,3,1,"Bangura, Umaru; Buanie, Jacob; Lamin, Joyce; Davis, Christopher; Bongo, Gédéon Ngiala; Dawson, Michael; Ansumana, Rashid; Sondufu, Dianah; Thomson, Emma C.; Sahr, Foday; Fichet-Calvet, Elisabeth","Lassa Virus Circulation in Small Mammal Populations in Bo District, Sierra Leone.",Biology,10.3390/biology10010028,2021
Mammarenavirus lassaense,antibody,Serology,Mastomys erythroleucus,Mastomys,Sierra Leone,3,2,"Bangura, Umaru; Buanie, Jacob; Lamin, Joyce; Davis, Christopher; Bongo, Gédéon Ngiala; Dawson, Michael; Ansumana, Rashid; Sondufu, Dianah; Thomson, Emma C.; Sahr, Foday; Fichet-Calvet, Elisabeth","Lassa Virus Circulation in Small Mammal Populations in Bo District, Sierra Leone.",Biology,10.3390/biology10010028,2021
Mammarenavirus lassaense,antibody,Serology,Mastomys natalensis,Mastomys,Sierra Leone,357,29,"Bangura, Umaru; Buanie, Jacob; Lamin, Joyce; Davis, Christopher; Bongo, Gédéon Ngiala; Dawson, Michael; Ansumana, Rashid; Sondufu, Dianah; Thomson, Emma C.; Sahr, Foday; Fichet-Calvet, Elisabeth","Lassa Virus Circulation in Small Mammal Populations in Bo District, Sierra Leone.",Biology,10.3390/biology10010028,2021
Mammarenavirus lassaense,antibody,Serology,Praomys rostratus,Praomys,Sierra Leone,162,5,"Bangura, Umaru; Buanie, Jacob; Lamin, Joyce; Davis, Christopher; Bongo, Gédéon Ngiala; Dawson, Michael; Ansumana, Rashid; Sondufu, Dianah; Thomson, Emma C.; Sahr, Foday; Fichet-Calvet, Elisabeth","Lassa Virus Circulation in Small Mammal Populations in Bo District, Sierra Leone.",Biology,10.3390/biology10010028,2021
Mammarenavirus lassaense,antibody,Serology,Rattus rattus,Rattus,Sierra Leone,87,2,"Bangura, Umaru; Buanie, Jacob; Lamin, Joyce; Davis, Christopher; Bongo, Gédéon Ngiala; Dawson, Michael; Ansumana, Rashid; Sondufu, Dianah; Thomson, Emma C.; Sahr, Foday; Fichet-Calvet, Elisabeth","Lassa Virus Circulation in Small Mammal Populations in Bo District, Sierra Leone.",Biology,10.3390/biology10010028,2021
Mammarenavirus lassaense,pcr,PCR,Mastomys natalensis,Mastomys,Sierra Leone,151,4,"Bangura, Umaru; Buanie, Jacob; Lamin, Joyce; Davis, Christopher; Bongo, Gédéon Ngiala; Dawson, Michael; Ansumana, Rashid; Sondufu, Dianah; Thomson, Emma C.; Sahr, Foday; Fichet-Calvet, Elisabeth","Lassa Virus Circulation in Small Mammal Populations in Bo District, Sierra Leone.",Biology,10.3390/biology10010028,2021
Mammarenavirus lassaense,ELISA,Serology,Hylomyscus pamfi,Hylomyscus,Nigeria,2,1,"Olayemi, Ayodeji; Oyeyiola, Akinlabi; Obadare, Adeoba; Igbokwe, Joseph; Adesina, Adetunji Samuel; Onwe, Francis; Ukwaja, Kingsley Nnanna; Ajayi, Nnennaya Anthony; Rieger, Toni; Günther, Stephan; Fichet-Calvet, Elisabeth","Widespread arenavirus occurrence and seroprevalence in small mammals, Nigeria.",Parasites & vectors,10.1186/s13071-018-2991-5,2018
Mammarenavirus lassaense,ELISA,Serology,Lophuromys sikapusi,Lophuromys,Nigeria,2,1,"Olayemi, Ayodeji; Oyeyiola, Akinlabi; Obadare, Adeoba; Igbokwe, Joseph; Adesina, Adetunji Samuel; Onwe, Francis; Ukwaja, Kingsley Nnanna; Ajayi, Nnennaya Anthony; Rieger, Toni; Günther, Stephan; Fichet-Calvet, Elisabeth","Widespread arenavirus occurrence and seroprevalence in small mammals, Nigeria.",Parasites & vectors,10.1186/s13071-018-2991-5,2018
Mammarenavirus lassaense,ELISA,Serology,Mastomys erythroleucus,Mastomys,Nigeria,83,14,"Olayemi, Ayodeji; Oyeyiola, Akinlabi; Obadare, Adeoba; Igbokwe, Joseph; Adesina, Adetunji Samuel; Onwe, Francis; Ukwaja, Kingsley Nnanna; Ajayi, Nnennaya Anthony; Rieger, Toni; Günther, Stephan; Fichet-Calvet, Elisabeth","Widespread arenavirus occurrence and seroprevalence in small mammals, Nigeria.",Parasites & vectors,10.1186/s13071-018-2991-5,2018
